id,city,city_code,airport_name,country,timezone,,,
1339,Comodoro Rivadavia,CRD,Comodoro Rivadavia,Argentina,America/Argentina/Catamarca,,,
1340,Myrtle Beach,CRE,Grand Strand Airport,United States,America/New_York,,,
1341,Carnot,CRF,Carnot,Central African Republic,Africa/Bangui,,,
1342,Jacksonville,CRG,Craig Municipal,United States,America/New_York,,,
1343,Cherribah,CRH,Cherribah,Australia,Australia/Brisbane,,,
1344,Crooked Island,CRI,Crooked Island,Bahamas,America/Nassau,,,
1345,Coorabie,CRJ,Coorabie,Australia,Australia/Adelaide,,,
1346,Angeles City,CRK,Diosdado Macapagal International (Clark Int),Philippines,Asia/Manila,,,
1347,Brussels,CRL,Charleroi Brussels South,Belgium,Europe/Brussels,,,
1348,Catarman,CRM,National,Philippines,Asia/Manila,,,
1349,Corcoran,CRO,Corcoran,United States,America/Los_Angeles,,,
1350,Corpus Christi,CRP,International,United States,America/Chicago,,,
1351,Caravelas,CRQ,Caravelas,Brazil,America/Bahia,,,
1352,Ceres,CRR,Ceres,Argentina,America/Argentina/Cordoba,,,
1353,Corsicana,CRS,Corsicana,United States,America/Chicago,,,
1354,Crossett,CRT,Municipal,United States,America/Chicago,,,
1355,Carriacou Is,CRU,Carriacou Is,Grenada,America/Grenada,,,
1356,Crotone,CRV,Crotone,Italy,Europe/Rome,,,
1357,Charleston,CRW,Yeager,United States,America/New_York,,,
1358,Corinth,CRX,Roscoe Turner,United States,America/Chicago,,,
1359,Carlton Hill,CRY,Carlton Hill,Australia,Australia/Perth,,,
1360,Isle Of Colonsay,CSA,Isle Of Colonsay,United Kingdom,Europe/London,,,
1361,Caransebes,CSB,Caransebes,Romania,Europe/Bucharest,,,
1362,Cresswell Downs,CSD,Cresswell Downs,Australia,Australia/Darwin,,,
1363,Creil,CSF,Creil,France,Europe/Paris,,,
1364,Casino,CSI,Casino,Australia,Australia/Sydney,,,
1365,Cape St Jacques,CSJ,Cape St Jacques,Viet Nam,America/New_York,,,
1366,Cap Skirring,CSK,Cap Skirring,Senegal,Africa/Dakar,,,
1367,Clinton,CSM,Sherman,United States,America/Chicago,,,
1368,Carson City,CSN,Carson City,United States,America/Los_Angeles,,,
1369,Cochstedt,CSO,Cochstedt,Germany,Europe/Berlin,,,
1370,Cape Spencer,CSP,Coast Guard Heliport,United States,America/Juneau,,,
1371,Creston,CSQ,Municipal,United States,America/Chicago,,,
1372,Cassilandia,CSS,Cassilandia,Brazil,America/Campo_Grande,,,
1373,Crossville,CSV,Memorial,United States,America/Chicago,,,
1374,Colorado do Oeste,CSW,Colorado do Oeste,Brazil,America/Porto_Velho,,,
1375,Changsha,CSX,Changsha,China,Asia/Chongqing,,,
1376,Cheboksary,CSY,Cheboksary,Russian Federation,Europe/Moscow,,,
1377,Coronel Suarez,CSZ,Brigadier Hector Ruiz,Argentina,America/Argentina/Salta,,,
1378,Catania,CTA,Fontanarossa,Italy,Europe/Rome,,,
1379,Cut Bank,CTB,Cut Bank,United States,America/Denver,,,
1380,Catamarca,CTC,Catamarca,Argentina,America/Argentina/Catamarca,,,
1381,Chitre,CTD,Chitre,Panama,America/Panama,,,
1382,Carti,CTE,Carti,Panama,America/Panama,,,
1383,Coatepeque,CTF,Coatepeque Airport,Guatemala,America/Guatemala,,,
1384,Cartagena,CTG,Rafael Nunez,Colombia,America/Bogota,,,
1385,Coatesville,CTH,Chestercounty Carlson,United States,America/New_York,,,
1386,Cuito Cuanavale,CTI,Cuito Cuanavale,Angola,Africa/Luanda,,,
1387,Canton,CTK,Canton,United States,America/Chicago,,,
1388,Charleville,CTL,Charleville,Australia,Australia/Brisbane,,,
1389,Chetumal,CTM,Chetumal,Mexico,America/Merida,,,
1390,Cooktown,CTN,Cooktown,Australia,Australia/Brisbane,,,
1391,Calverton,CTO,Peconic River,United States,America/New_York,,,
1392,Carutapera,CTP,Carutapera,Brazil,America/Fortaleza,,,
1393,Cattle Creek,CTR,Cattle Creek,Australia,Australia/Darwin,,,
1394,Le Castellet,CTT,Le Castellet,France,Europe/Paris,,,
1395,Chengdu,CTU,Chengdu,China,Asia/Chongqing,,,
1396,Cottonwood,CTW,Cottonwood,United States,America/Phoenix,,,
1397,Cross City,CTY,Cross City,United States,America/New_York,,,
1398,Clinton,CTZ,Sampson County,United States,America/New_York,,,
1399,Ciudad Constitucion,CUA,Ciudad Constitucion,Mexico,America/Mazatlan,,,
1400,Columbia,CUB,Owens Field,United States,America/New_York,,,
1401,Cucuta,CUC,Camilo Dazo,Colombia,America/Bogota,,,
1402,Caloundra,CUD,Caloundra,Australia,Australia/Brisbane,,,
1403,Cuenca,CUE,Cuenca,Ecuador,America/Guayaquil,,,
1404,Cuneo,CUF,Levaldigi,Italy,Europe/Rome,,,
1405,Cudal,CUG,Cudal,Australia,Australia/Sydney,,,
1406,Cushing,CUH,Municipal,United States,America/Chicago,,,
1407,Currillo,CUI,Currillo,Colombia,America/Bogota,,,
1408,Caye Caulker,CUK,Caye Caulker,Belize,America/Belize,,,
1409,Culiacan,CUL,Fedl De Bachigualato,Mexico,America/Mazatlan,,,
1410,Cumana,CUM,Cumana,Venezuela,America/Caracas,,,
1411,Cancun,CUN,Cancun,Mexico,America/Cancun,,,
1412,Caruru,CUO,Caruru,Colombia,America/Bogota,,,
1413,Carupano,CUP,Carupano,Venezuela,America/Caracas,,,
1414,Coen,CUQ,Coen,Australia,Australia/Brisbane,,,
1415,Curacao,CUR,Hato International Airport,Netherlands Antilles,America/Curacao,,,
1416,Columbus,CUS,Municipal,United States,America/Denver,,,
1417,Cutral,CUT,Cutral,Argentina,America/Argentina/Salta,,,
1418,Chihuahua,CUU,Gen Fierro Villalobos,Mexico,America/Chihuahua,,,
1419,Casigua,CUV,Casigua,Venezuela,America/Caracas,,,
1420,Cube Cove,CUW,Cube Cove,United States,America/Juneau,,,
1421,Cue,CUY,Cue,Australia,Australia/Perth,,,
1422,Cuzco,CUZ,Velazco Astete,Peru,America/Lima,,,
1423,Chungribu,CVB,Chungribu,Papua New Guinea,Pacific/Port_Moresby,,,
1424,Cleve,CVC,Cleve,Australia,Australia/Adelaide,,,
1425,Covenas,CVE,Covenas,Colombia,America/Bogota,,,
1426,Courchevel,CVF,Courchevel,France,Europe/Paris,,,
1427,Cincinnati,CVG,Cinci./Nrthrn Kentucky,United States,America/New_York,,,
1428,Caviahue,CVH,Caviahue,Argentina,America/Argentina/Salta,,,
1429,Caleta Olivia,CVI,Caleta Olivia,Argentina,America/Argentina/Rio_Gallegos,,,
1430,Cuernavaca,CVJ,General Mariano Matamoros Airport,Mexico,America/Mexico_City,,,
1431,Cape Vogel,CVL,Cape Vogel,Papua New Guinea,Pacific/Port_Moresby,,,
1432,Ciudad Victoria,CVM,Ciudad Victoria,Mexico,America/Monterrey,,,
1433,Clovis,CVN,Municipal,United States,America/Denver,,,
1434,Albany,CVO,Albany,United States,America/Los_Angeles,,,
1435,Carnarvon,CVQ,Carnarvon,Australia,Australia/Perth,,,
1436,Clovis,CVS,Cannon AFB,United States,America/Denver,,,
1437,Coventry,CVT,Coventry - West Midlands International Airport,United Kingdom,Europe/London,,,
1438,Corvo Island,CVU,Corvo Island,Portugal,Atlantic/Azores,,,
1439,Curitiba,CWB,Afonso Pena International Airport,Brazil,America/Sao_Paulo,,,
1440,Chernovtsy,CWC,Chernovtsy,Ukraine,Europe/Uzhgorod,,,
1441,Clinton,CWI,Clinton,United States,America/Chicago,,,
1442,Cardiff,CWL,Cardiff-wales Arpt,United Kingdom,Europe/London,,,
1443,Mineral Wells,CWO,Ft Wolter AAF,United States,America/Chicago,,,
1444,Cowarie,CWR,Cowarie,Australia,Australia/Adelaide,,,
1445,Center Island,CWS,Center Island,United States,America/Los_Angeles,,,
1446,Cowra,CWT,Cowra,Australia,Australia/Sydney,,,
1447,Corowa,CWW,Corowa,Australia,Australia/Sydney,,,
1448,Caicara De Oro,CXA,Caicara De Oro,Venezuela,America/Caracas,,,
1449,Coldfoot,CXF,Coldfoot,United States,America/Anchorage,,,
1450,Christmas Island,CXI,Christmas Island,Kiribati,Pacific/Kiritimati,,,
1451,Caxias Do Sul,CXJ,Campo Dos Bugres,Brazil,America/Sao_Paulo,,,
1452,Calexico,CXL,International,United States,America/Los_Angeles,,,
1453,Candala,CXN,Candala,Somalia,Africa/Mogadishu,,,
1454,Conroe,CXO,Montgomery Co,United States,America/Chicago,,,
1455,Cilacap,CXP,Tunggul Wulung,Indonesia,Asia/Jakarta,,,
1456,Christmas Creek,CXQ,Christmas Creek,Australia,Australia/Perth,,,
1457,Nha Trang,CXR,Cam Ranh,Viet Nam,Asia/Ho_Chi_Minh,,,
1458,Charters Towers,CXT,Charters Towers,Australia,Australia/Brisbane,,,
1459,Cat Cays,CXY,Cat Cays,Bahamas,America/Nassau,,,
1460,Les Cayes,CYA,Les Cayes,Haiti,America/Port-au-Prince,,,
1461,Cayman Brac Is,CYB,Gerrard-Smith,Cayman Islands,America/Cayman,,,
1462,Caye Chapel,CYC,Caye Chapel,Belize,America/Belize,,,
1463,Chefornak,CYF,Chefornak SPB,United States,America/Nome,,,
1464,Corryong,CYG,Corryong,Australia,Australia/Melbourne,,,
1465,Chiayi,CYI,Chiayi,Taiwan,Asia/Taipei,,,
1466,Coyoles,CYL,Coyoles,Honduras,America/Tegucigalpa,,,
1467,Chatham,CYM,Chatham SPB,United States,America/Sitka,,,
1468,Cayo Largo Del Sur,CYO,Cayo Largo Del Sur,Cuba,America/Havana,,,
1469,Calbayog,CYP,Calbayog,Philippines,Asia/Manila,,,
1470,Colonia,CYR,Laguna De Los Patos,Uruguay,America/Montevideo,,,
1471,Cheyenne,CYS,Cheyenne,United States,America/Denver,,,
1472,Cuyo,CYU,Cuyo,Philippines,Asia/Manila,,,
1473,Cherskiy,CYX,Cherskiy,Russian Federation,Asia/Magadan,,,
1474,Cauayan,CYZ,Cauayan,Philippines,Asia/Manila,,,
1475,Chichen Itza,CZA,Chichen Itza,Mexico,America/Merida,,,
1476,Cruz Alta,CZB,Carlos Ruhl,Brazil,America/Sao_Paulo,,,
1477,Copper Centre,CZC,Copper Centre,United States,America/Anchorage,,,
1478,Coro,CZE,Coro,Venezuela,America/Caracas,,,
1479,Cape Romanzof,CZF,Cape Romanzof,United States,America/Nome,,,
1480,Corozal,CZH,Corozal,Belize,America/Belize,,,
1481,Corazon De Jesus,CZJ,Corazon De Jesus,Panama,America/Panama,,,
1482,Cascade Locks,CZK,Cascade Locks/Stevens,United States,America/Los_Angeles,,,
1483,Constantine,CZL,Ain El Bey,Algeria,Africa/Algiers,,,
1484,Cozumel,CZM,Cozumel,Mexico,America/Cancun,,,
1485,Chisana,CZN,Chisana Field,United States,America/Anchorage,,,
1486,Cruzeiro Do Sul,CZS,Campo Internacional,Brazil,America/Eirunepe,,,
1487,Corozal,CZU,Corozal,Colombia,America/Bogota,,,
1488,Czestochowa,CZW,Czestochowa,Poland,Europe/Warsaw,,,
1489,Changzhou,CZX,Changzhou,China,Asia/Shanghai,,,
1490,Cluny,CZY,Cluny,Australia,Australia/Brisbane,,,
1491,Fort Belvoir,DAA,Davison AAF,United States,America/New_York,,,
1492,Daytona Beach,DAB,Regional,United States,America/New_York,,,
1493,Dhaka,DAC,Zia International,Bangladesh,Asia/Dhaka,,,
1494,Da Nang,DAD,Da Nang,Viet Nam,Asia/Ho_Chi_Minh,,,
1495,Daggett,DAG,Barstow-Daggett,United States,America/Los_Angeles,,,
1496,Dathina,DAH,Dathina,Yemen,Asia/Aden,,,
1497,Darjeeling,DAI,Darjeeling,India,Asia/Kolkata,,,
1498,Dakhla Oasis,DAK,Dakhla,Egypt,Africa/Cairo,,,
1499,Dallas,DAL,Love Field,United States,America/Chicago,,,
1500,Damascus,DAM,International,Syria,Asia/Damascus,,,
1501,Danville,DAN,Municipal,United States,America/New_York,,,
1502,Dabo,DAO,Dabo,Papua New Guinea,Pacific/Port_Moresby,,,
1503,Darchula,DAP,Darchula,Nepal,Asia/Kathmandu,,,
1504,Dar Es Salaam,DAR,International,Tanzania,Africa/Dar_es_Salaam,,,
1505,Great Bear Lake,DAS,Great Bear Lake,Canada,America/Yellowknife,,,
1506,Datong,DAT,Datong,China,Asia/Shanghai,,,
1507,Daru,DAU,Daru,Papua New Guinea,Pacific/Port_Moresby,,,
1508,David,DAV,Enrique Malek,Panama,America/Panama,,,
1509,Daxian,DAX,Daxian,China,Asia/Chongqing,,,
1510,Dayton,DAY,James Cox Dayton Intl,United States,America/New_York,,,
1511,Darwaz,DAZ,Darwaz,Afghanistan,Asia/Kabul,,,
1512,Dalbandin,DBA,Dalbandin,Pakistan,Asia/Karachi,,,
1513,Dabaa City,DBB,Alalamain Intl.,Egypt,Africa/Cairo,,,
1514,Dhanbad,DBD,Dhanbad,India,Asia/Kolkata,,,
1515,Debra Marcos,DBM,Debra Marcos,Ethiopia,Africa/Addis_Ababa,,,
1516,Dublin,DBN,Municipal,United States,America/New_York,,,
1517,Dubbo,DBO,Dubbo,Australia,Australia/Sydney,,,
1518,Debepare,DBP,Debepare,Papua New Guinea,Pacific/Port_Moresby,,,
1519,Dubuque,DBQ,Municipal,United States,America/Chicago,,,
1520,Dubois,DBS,Dubois,United States,America/Boise,,,
1521,Debra Tabor,DBT,Debra Tabor,Ethiopia,Africa/Addis_Ababa,,,
1522,Dubrovnik,DBV,Dubrovnik,Croatia (Hrvatska),Europe/Zagreb,,,
1523,Dalby,DBY,Dalby,Australia,Australia/Brisbane,,,
1524,Dominica,DCF,Cane Field,Dominica,America/Dominica,,,
1525,Decimomannu,DCI,Rafsu Decimomannu,Italy,Europe/Rome,,,
1526,Dahl Creek,DCK,Dahl Creek Arpt,United States,America/Anchorage,,,
1527,Castres,DCM,Mazamet,France,Europe/Paris,,,
1528,Decatur,DCR,Decatur Hi-Way,United States,America/Indiana/Indianapolis,,,
1529,Duncan Town,DCT,Duncan Town,Bahamas,America/Nassau,,,
1530,Decatur,DCU,Pyor,United States,America/Chicago,,,
1531,Dodge City,DDC,Dodge City Municipal,United States,America/Chicago,,,
1532,Dandong,DDG,Dandong,China,Asia/Shanghai,,,
1533,Dodoima,DDM,Dodoima,Papua New Guinea,Pacific/Port_Moresby,,,
1534,Delta Downs,DDN,Delta Downs,Australia,Australia/Brisbane,,,
1535,Dorado,DDP,Dorado Beach,Puerto Rico,America/Puerto_Rico,,,
1536,Dadu,DDU,Dadu,Pakistan,Asia/Karachi,,,
1537,Dera Ghazi Khan,DEA,Dera Ghazi Khan,Pakistan,Asia/Karachi,,,
1538,Debrecen,DEB,Debrecen,Hungary,Europe/Budapest,,,
1539,Decatur,DEC,Decatur Arpt,United States,America/Chicago,,,
1540,Dehra Dun,DED,Dehra Dun,India,Asia/Kolkata,,,
1541,Dezful,DEF,Dezful,Iran,Asia/Tehran,,,
1542,Decorah,DEH,Municipal,United States,America/Chicago,,,
1543,Denis Island,DEI,Denis Island,Seychelles,Indian/Mahe,,,
1544,Delhi,DEL,Indira Gandhi Intl,India,Asia/Kolkata,,,
1545,Dembidollo,DEM,Dembidollo,Ethiopia,Africa/Addis_Ababa,,,
1546,Denver,DEN,Denver International,United States,America/Denver,,,
1547,Deparizo,DEP,Deparizo,India,Asia/Kolkata,,,
1548,Desroches,DES,Desroches,Seychelles,Indian/Mahe,,,
1549,Detroit,DET,Detroit City,United States,America/Detroit,,,
1550,Deirezzor,DEZ,Al Jafrah,Syria,Asia/Damascus,,,
1551,Defiance,DFI,Memorial,United States,America/New_York,,,
1552,Drumduff,DFP,Drumduff,Australia,Australia/Brisbane,,,
1553,Dallas,DFW,Dallas/Ft Worth Intl,United States,America/Chicago,,,
1554,Dangriga,DGA,Dangriga,Belize,America/Belize,,,
1555,Danger Bay,DGB,Danger Bay,United States,America/Anchorage,,,
1556,Dalgaranga,DGD,Dalgaranga,Australia,Australia/Perth,,,
1557,Mudgee,DGE,Mudgee,Australia,Australia/Sydney,,,
1558,Douglas,DGF,Bisbee-douglas International,United States,America/Vancouver,,,
1559,Dugong,DGK,Dugong,Mozambique,Africa/Maputo,,,
1560,Douglas,DGL,Douglas Municipal,United States,America/Phoenix,,,
1561,Dahlgren,DGN,NAF,United States,America/New_York,,,
1562,Durango,DGO,Guadalupe Victoria,Mexico,America/Monterrey,,,
1563,Daugavpils,DGP,Daugavpils,Latvia,Europe/Riga,,,
1564,Dargaville,DGR,Dargaville,New Zealand (Aotearoa),Pacific/Auckland,,,
1565,Dumaguete,DGT,Dumaguete,Philippines,Asia/Manila,,,
1566,Dedougou,DGU,Dedougou,Burkina Faso,Africa/Ouagadougou,,,
1567,Douglas,DGW,Converse County,United States,America/Denver,,,
1568,Dhahran,DHA,Dhahran,Saudi Arabia,Asia/Riyadh,,,
1569,Durham Downs,DHD,Durham Downs,Australia,Australia/Brisbane,,,
1570,Abu Dhabi,DHF,Al Dhafra Military Apt,United Arab Emirates,Asia/Dubai,,,
1571,Dhangarhi,DHI,Dhangarhi,Nepal,Asia/Kathmandu,,,
1572,Dhala,DHL,Dhala,Yemen,Asia/Aden,,,
1573,Dharamsala,DHM,Gaggal Airport,India,Asia/Kolkata,,,
1574,Dothan,DHN,Dothan Arpt,United States,America/Chicago,,,
1575,Den Helder,DHR,De Kooy,Netherlands,Europe/Amsterdam,,,
1576,Dalhart,DHT,Dalhart,United States,America/Chicago,,,
1577,Dibrugarh,DIB,Chabua,India,Asia/Kolkata,,,
1578,Antsiranana,DIE,Antsiranana/Arrachart,Madagascar,Indian/Antananarivo,,,
1579,Diqing,DIG,Diqing,China,Asia/Chongqing,,,
1580,Dijon,DIJ,Dijon,France,Europe/Paris,,,
1581,Dickinson,DIK,Dickinson,United States,America/Denver,,,
1582,Dili,DIL,Comoro,Indonesia,Asia/Dili,,,
1583,Dimbokro,DIM,Dimbokro,Cote D'Ivoire (Ivory Coast),Africa/Abidjan,,,
1584,Dien Bien Phu,DIN,Dien Bien,Viet Nam,Asia/Ho_Chi_Minh,,,
1585,Diomede Island,DIO,Diomede Island,United States,America/Nome,,,
1586,Diapaga,DIP,Diapaga,Burkina Faso,Africa/Ouagadougou,,,
1587,Divinopolis,DIQ,Divinopolis,Brazil,America/Sao_Paulo,,,
1588,Dire Dawa,DIR,Aba Tenna D Yilma,Ethiopia,Africa/Addis_Ababa,,,
1589,Loubomo,DIS,Loubomo,Congo,Africa/Brazzaville,,,
1590,Diu,DIU,Diu,India,Asia/Kolkata,,,
1591,Divo,DIV,Divo,Cote D'Ivoire (Ivory Coast),Africa/Abidjan,,,
1592,Diyarbakir,DIY,Diyarbakir,Turkey,Europe/Istanbul,,,
1593,Djougou,DJA,Djougou,Benin,Africa/Porto-Novo,,,
1594,Jambi,DJB,Sultan Taha Syarifudn,Indonesia,Asia/Jakarta,,,
1595,Djerba,DJE,Djerba-Zarzis,Tunisia,Africa/Tunis,,,
1596,Djanet,DJG,Inedbirenne,Algeria,Africa/Algiers,,,
1597,Jayapura,DJJ,Sentani,Indonesia,Asia/Jayapura,,,
1598,Djambala,DJM,Djambala,Congo,Africa/Brazzaville,,,
1599,Delta Junction,DJN,Delta Junction,United States,America/Anchorage,,,
1600,Daloa,DJO,Daloa,Cote D'Ivoire (Ivory Coast),Africa/Abidjan,,,
1601,Djupivogur,DJU,Djupivogur,Iceland,Atlantic/Reykjavik,,,
1602,Dunk Island,DKI,Dunk Island,Australia,Australia/Lindeman,,,
1603,Dunkirk,DKK,Dunkirk,United States,America/New_York,,,
1604,Dakar,DKR,Yoff,Senegal,Africa/Dakar,,,
1605,Dikson,DKS,Dikson,Russian Federation,Asia/Krasnoyarsk,,,
1606,Docker River,DKV,Docker River,Australia,Australia/Darwin,,,
1607,Douala,DLA,Douala,Cameroon,Africa/Douala,,,
1608,Dalian,DLC,Dalian,China,Asia/Shanghai,,,
1609,Dole,DLE,Tavaux,France,Europe/Paris,,,
1610,Del Rio,DLF,Laughlin AFB,United States,America/Chicago,,,
1611,Dillingham,DLG,Municipal,United States,America/Anchorage,,,
1612,Duluth,DLH,Duluth International,United States,America/Chicago,,,
1613,Dalat,DLI,Lienkhang,Viet Nam,Asia/Ho_Chi_Minh,,,
1614,Dulkaninna,DLK,Dulkaninna,Australia,Australia/Adelaide,,,
1615,Dillon,DLL,Dillon,United States,America/New_York,,,
1616,Dalaman,DLM,Dalaman,Turkey,Europe/Istanbul,,,
1617,Dillon,DLN,Dillon,United States,America/Denver,,,
1618,Dolomi,DLO,Dolomi,United States,America/Juneau,,,
1619,Dali City,DLU,Dali,China,Asia/Chongqing,,,
1620,Delissaville,DLV,Delissaville,Australia,Australia/Darwin,,,
1621,Dillons Bay,DLY,Dillons Bay,Vanuatu,Pacific/Efate,,,
1622,Dalanzadgad,DLZ,Dalanzadgad,Mongolia,Asia/Ulaanbaatar,,,
1623,Doomadgee,DMD,Doomadgee,Australia,Australia/Brisbane,,,
1624,Moscow,DME,Domodedovo,Russian Federation,Europe/Moscow,,,
1625,Deming,DMN,Deming,United States,America/Denver,,,
1626,Dhamar,DMR,Dhamar,Yemen,Asia/Aden,,,
1627,Diamantino,DMT,Diamantino,Brazil,America/Cuiaba,,,
1628,Dimapur,DMU,Dimapur,India,Asia/Kolkata,,,
1629,Okinawa,DNA,Kadena AFB,Japan,Asia/Tokyo,,,
1630,Dunbar,DNB,Dunbar,Australia,Australia/Brisbane,,,
1631,Dundee,DND,Dundee,United Kingdom,Europe/London,,,
1632,Dallas,DNE,Dallas North Airport,United States,America/Chicago,,,
1633,Derna,DNF,Martuba,Libya,Africa/Tripoli,,,
1634,Doongan,DNG,Doongan,Australia,Australia/Perth,,,
1635,Dunhuang,DNH,Dunhuang,China,Asia/Urumqi,,,
1636,Dnepropetrovsk,DNK,Dnepropetrovsk,Ukraine,Europe/Zaporozhye,,,
1637,Augusta,DNL,Daniel Field,United States,America/New_York,,,
1638,Denham,DNM,Denham,Australia,Australia/Perth,,,
1639,Dalton,DNN,Municipal,United States,America/New_York,,,
1640,Dianopolis,DNO,Dianopolis,Brazil,America/Araguaina,,,
1641,Dang,DNP,Dang,Nepal,Asia/Kathmandu,,,
1642,Deniliquin,DNQ,Deniliquin,Australia,Australia/Sydney,,,
1643,Dinard,DNR,Pleurtuit,France,Europe/Paris,,,
1644,Denison,DNS,Municipal,United States,America/Chicago,,,
1645,Dinangat,DNU,Dinangat,Papua New Guinea,Pacific/Port_Moresby,,,
1646,Danville,DNV,Vermilion County,United States,America/Chicago,,,
1647,Dinder,DNX,Galegu,Sudan,Africa/Khartoum,,,
1648,Denizli,DNZ,Cardak,Turkey,Europe/Istanbul,,,
1649,Doany,DOA,Doany,Madagascar,Indian/Antananarivo,,,
1650,Dobo,DOB,Dobo Airport,Indonesia,Asia/Jayapura,,,
1651,Dornoch,DOC,Dornoch,United Kingdom,Europe/London,,,
1652,Dodoma,DOD,Dodoma,Tanzania,Africa/Dar_es_Salaam,,,
1653,Djoemoe,DOE,Djoemoe,Suriname,America/Paramaribo,,,
1654,Dongola,DOG,Dongola,Sudan,Africa/Khartoum,,,
1655,Doha,DOH,Doha,Qatar,Asia/Qatar,,,
1656,Doini,DOI,Doini,Papua New Guinea,Pacific/Port_Moresby,,,
1657,Donetsk,DOK,Donetsk,Ukraine,Europe/Zaporozhye,,,
1658,Deauville,DOL,St Gatien,France,Europe/Paris,,,
1659,Dominica,DOM,Melville Hall,Dominica,America/Dominica,,,
1660,Dos Lagunas,DON,Dos Lagunas,Guatemala,America/Guatemala,,,
1661,Dorobisoro,DOO,Dorobisoro,Papua New Guinea,Pacific/Port_Moresby,,,
1662,Dolpa,DOP,Dolpa,Nepal,Asia/Kathmandu,,,
1663,Dori,DOR,Dori,Burkina Faso,Africa/Ouagadougou,,,
1664,Dourados,DOU,Dourados,Brazil,America/Campo_Grande,,,
1665,Dover-Cheswold,DOV,Dover AFB,United States,America/Indiana/Indianapolis,,,
1666,Dongying,DOY,Dongying,China,Asia/Shanghai,,,
1667,Chicago,DPA,Dupage County,United States,America/Chicago,,,
1668,Dugway,DPG,Michael AAF,United States,America/Denver,,,
1669,Deer Park,DPK,Deer Park,United States,America/New_York,,,
1670,Dipolog,DPL,Dipolog,Philippines,Asia/Manila,,,
1671,Devonport,DPO,Devonport,Australia,Australia/Hobart,,,
1672,Denpasar Bali,DPS,Ngurah Rai,Indonesia,Asia/Makassar,,,
1673,Mercury,DRA,Desert Rock,United States,America/Los_Angeles,,,
1674,Derby,DRB,Derby,Australia,Australia/Perth,,,
1675,Dirico,DRC,Dirico,Angola,Africa/Luanda,,,
1676,Dorunda Station,DRD,Dorunda Station,Australia,Australia/Brisbane,,,
1677,Drummond Island,DRE,Drummond Island,United States,America/Detroit,,,
1678,Deering,DRG,Deering,United States,America/Nome,,,
1679,Dabra,DRH,Dabra,Indonesia,Asia/Jayapura,,,
1680,De Ridder,DRI,Beauregard Parish,United States,America/Chicago,,,
1681,Drietabbetje,DRJ,Drietabbetje,Suriname,America/Paramaribo,,,
1682,Dirranbandi,DRN,Dirranbandi,Australia,Australia/Brisbane,,,
1683,Durango,DRO,La Plata,United States,America/Denver,,,
1684,Durrie,DRR,Durrie,Australia,Australia/Brisbane,,,
1685,Dresden,DRS,Dresden Arpt,Germany,Europe/Berlin,,,
1686,Del Rio,DRT,International,United States,America/Chicago,,,
1687,Drummond,DRU,Drummond,United States,America/Denver,,,
1688,Darwin,DRW,Darwin,Australia,Australia/Darwin,,,
1689,Drysdale River,DRY,Drysdale River,Australia,Australia/Perth,,,
1690,Doncaster,DSA,Robin Hood International,United Kingdom,Europe/London,,,
1691,Dschang,DSC,Dschang,Cameroon,Africa/Douala,,,
1692,La Desirade,DSD,La Desirade,Guadeloupe,America/Guadeloupe,,,
1693,Dessie,DSE,Combolcha,Ethiopia,Africa/Addis_Ababa,,,
1694,Destin,DSI,Destin,United States,America/Chicago,,,
1695,Dera Ismail Khan,DSK,Dera Ismail Khan,Pakistan,Asia/Karachi,,,
1696,Des Moines,DSM,Des Moines,United States,America/Chicago,,,
1697,Dongsheng,DSN,Dongsheng,China,Asia/Chongqing,,,
1698,Dansville,DSV,Dansville,United States,America/New_York,,,
1699,Delta,DTA,Delta,United States,America/Denver,,,
1700,Datadawai,DTD,Datadawai,Indonesia,Asia/Makassar,,,
1701,Daet,DTE,Camarines Norte,Philippines,Asia/Manila,,,
1702,Death Valley,DTH,Death Valley,United States,America/Los_Angeles,,,
1703,Detroit Lakes,DTL,Municipal,United States,America/Chicago,,,
1704,Dortmund,DTM,Dortmund,Germany,Europe/Berlin,,,
1705,Detroit,DTW,Wayne County,United States,America/Detroit,,,
1706,Durant,DUA,Eaker,United States,America/Chicago,,,
1707,Dublin,DUB,Dublin,Ireland,Europe/Dublin,,,
1708,Duncan,DUC,Halliburton Field,United States,America/Chicago,,,
1709,Dunedin,DUD,Dunedin International,New Zealand,Pacific/Auckland,,,
1710,Dundo,DUE,Dundo,Angola,Africa/Luanda,,,
1711,Duck,DUF,Pine Island Airport,United States,America/New_York,,,
1712,Douglas,DUG,Bisbee-Douglas Intl,United States,America/Phoenix,,,
1713,Dubois,DUJ,Jefferson County,United States,America/New_York,,,
1714,Dukuduk,DUK,Dukuduk,South Africa,Africa/Johannesburg,,,
1715,Dumai,DUM,Pinang Kampai,Indonesia,Asia/Jakarta,,,
1716,Dundas,DUN,Dundas,Greenland,America/Thule,,,
1717,Duncan/Quam,DUQ,Duncan/Quam,Canada,America/Vancouver,,,
1718,Durban,DUR,Durban International,South Africa,Africa/Johannesburg,,,
1719,Dusseldorf,DUS,Düsseldorf International Airport (Rhein-Ruhr),Germany,Europe/Berlin,,,
1720,Dutch Harbor,DUT,Emergency Field,United States,America/Nome,,,
1721,Diavik,DVK,Diavik,Canada,America/Yellowknife,,,
