id,city,city_code,airport_name,country,timezone,,,
90,Aek Godang,AEG,Aek Godang,Indonesia,Asia/Jakarta,,,
91,Abecher,AEH,Abecher,Chad,Africa/Ndjamena,,,
92,Algeciras,AEI,Algeciras,Spain,Europe/Madrid,,,
93,Aseki,AEK,Aseki,Papua New Guinea,Pacific/Port_Moresby,,,
94,Albert Lea,AEL,Albert Lea,United States,America/Chicago,,,
95,Aioun El Atrouss,AEO,Aioun El Atrouss,Mauritania,Africa/Nouakchott,,,
96,Buenos Aires,AEP,Arpt. Jorge Newbery,Argentina,America/Argentina/Buenos_Aires,,,
97,Adler/Sochi,AER,Adler/Sochi,Russian Federation,Europe/Moscow,,,
98,Aalesund,AES,Vigra,Norway,Europe/Oslo,,,
99,Allakaket,AET,Allakaket,United States,America/Anchorage,,,
100,Abu Musa,AEU,Abu Musa,Iran,Asia/Tehran,,,
101,Alexandria,AEX,Alexandria Internation,United States,America/Chicago,,,
102,Akureyri,AEY,Akureyri,Iceland,Atlantic/Reykjavik,,,
103,Colorado Springs,AFF,USAF Academy,United States,America/Denver,,,
104,Amalfi,AFI,Amalfi,Colombia,America/Bogota,,,
105,Alta Floresta,AFL,Alta Floresta,Brazil,America/Cuiaba,,,
106,Jaffrey,AFN,Municipal,United States,America/New_York,,,
107,Afton,AFO,Municipal,United States,America/Denver,,,
108,Afore,AFR,Afore,Papua New Guinea,Pacific/Port_Moresby,,,
109,Afutara,AFT,Afutara Aerodrome,Solomon Islands,Pacific/Guadalcanal,,,
110,Fort Worth,AFW,Fort Worth Alliance,United States,America/Chicago,,,
111,Afyon,AFY,Afyon,Turkey,Europe/Istanbul,,,
112,Agadir,AGA,Agadir Almassira,Morocco,Africa/Casablanca,,,
113,Augsburg,AGB,Augsburg - Muehlhausen,Germany,Europe/Berlin,,,
114,Anggi,AGD,Anggi,Indonesia,Asia/Jayapura,,,
115,Agen,AGF,La Garenne,France,Europe/Paris,,,
116,Angelholm/Helsingborg,AGH,Angelholm,Sweden,Europe/Stockholm,,,
117,Aguni,AGJ,Aguni,Japan,Asia/Tokyo,,,
118,Kagua,AGK,Kagua,Papua New Guinea,Pacific/Port_Moresby,,,
119,Angoon,AGN,Angoon,United States,America/Juneau,,,
120,Magnolia,AGO,Municipal,United States,America/Chicago,,,
121,Malaga,AGP,Malaga,Spain,Europe/Madrid,,,
122,Agrinion,AGQ,Agrinion,Greece,Europe/Athens,,,
123,Agra,AGR,Kheria,India,Asia/Kolkata,,,
124,Augusta,AGS,Bush Field,United States,America/New_York,,,
125,Ciudad del Este,AGT,Alejo Garcia,Paraguay,America/Asuncion,,,
126,Aguascalientes,AGU,Aguascalients,Mexico,America/Mexico_City,,,
127,Acarigua,AGV,Acarigua,Venezuela,America/Caracas,,,
128,Agnew,AGW,Agnew,Australia,Australia/Brisbane,,,
129,Agatti Island,AGX,Agatti Island,India,Asia/Kolkata,,,
130,Argyle Downs,AGY,Argyle Downs,Australia,Australia/Perth,,,
131,Aggeneys,AGZ,Aggeneys,South Africa,Africa/Johannesburg,,,
132,Okinawa,AHA,Naha AFB,Japan,Asia/Tokyo,,,
133,Abha,AHB,Abha,Saudi Arabia,Asia/Riyadh,,,
134,Herlong,AHC,Amedee AAF,United States,America/Los_Angeles,,,
135,Ardmore,AHD,Downtown,United States,America/Chicago,,,
136,Ahe,AHE,Ahe Airport,French Polynesia,Pacific/Tahiti,,,
137,Arapahoe,AHF,Municipal,United States,America/Chicago,,,
138,Amery,AHH,Municipal,United States,America/Chicago,,,
139,Amahai,AHI,Amahai,Indonesia,Asia/Jayapura,,,
140,Aishalton,AHL,Aishalton,Guyana,America/Guyana,,,
141,Athens,AHN,Athens,United States,America/New_York,,,
142,Alghero,AHO,Fertilia,Italy,Europe/Rome,,,
143,Ahuas,AHS,Ahuas,Honduras,America/Tegucigalpa,,,
144,Amchitka,AHT,Amchitka,United States,America/Adak,,,
145,Al Hoceima,AHU,Charif Al Idrissi,Morocco,Africa/Casablanca,,,
